Happy,AvgHincfel,AvgStfeco,AvgStfedu,AvgStfhlth,AvgStflife,,
0,3.088541667,1.942708333,3.307291667,3.026041667,2.53125,,
1,2.953642384,2.569536424,3.814569536,3.61589404,3.026490066,,
2,2.713888889,2.766666667,3.95,3.761111111,3.208333333,,
3,2.584345479,3.044534413,4.09851552,3.83265857,3.747638327,,
4,2.513184584,3.401622718,4.320486815,4.159229209,4.464503043,,
5,2.428857715,3.638610554,4.650968604,4.51503006,5.349699399,,
6,2.243140965,4.204036582,5.069378745,4.990223904,6.046042258,,
7,2.050942772,4.711048627,5.541845848,5.527621568,6.83575918,,
8,1.821519447,5.281231067,6.052950442,6.010662789,7.736459469,,
9,1.644817419,5.867770469,6.483556362,6.538444092,8.544794738,,
10,1.762157107,5.43765586,6.200124688,6.197319202,8.97319202,,
